fixture_id,gender,disc_id,match_no,match_day,match_date,match_time,end_time,round_name,group_id,team1_dist_id,team2_dist_id,venue,result
172,1,25,NULL,NULL,NULL,NULL,NULL,NULL,4,11,13,NULL,NULL
173,1,25,NULL,NULL,NULL,NULL,NULL,NULL,1,31,4,NULL,NULL
174,1,25,NULL,NULL,NULL,NULL,NULL,NULL,2,32,12,NULL,NULL
175,1,25,NULL,NULL,NULL,NULL,NULL,NULL,3,3,26,NULL,NULL
176,1,25,NULL,NULL,NULL,NULL,NULL,NULL,4,17,23,NULL,NULL
177,1,25,NULL,NULL,NULL,NULL,NULL,NULL,1,31,20,NULL,NULL
178,1,25,NULL,NULL,NULL,NULL,NULL,NULL,2,32,24,NULL,NULL
179,1,25,NULL,NULL,NULL,NULL,NULL,NULL,3,3,9,NULL,NULL
180,1,25,NULL,NULL,NULL,NULL,NULL,NULL,4,17,16,NULL,NULL
181,1,25,NULL,NULL,NULL,NULL,NULL,NULL,1,4,10,NULL,NULL
182,1,25,NULL,NULL,NULL,NULL,NULL,NULL,2,12,28,NULL,NULL
183,1,25,NULL,NULL,NULL,NULL,NULL,NULL,3,26,7,NULL,NULL
184,1,25,NULL,NULL,NULL,NULL,NULL,NULL,4,23,13,NULL,NULL
185,1,25,NULL,NULL,NULL,NULL,NULL,NULL,1,4,6,NULL,NULL
186,1,25,NULL,NULL,NULL,NULL,NULL,NULL,2,12,18,NULL,NULL
187,1,25,NULL,NULL,NULL,NULL,NULL,NULL,3,26,19,NULL,NULL
188,1,25,NULL,NULL,NULL,NULL,NULL,NULL,4,23,11,NULL,NULL
189,1,25,NULL,NULL,NULL,NULL,NULL,NULL,1,10,20,NULL,NULL
190,1,25,NULL,NULL,NULL,NULL,NULL,NULL,2,28,24,NULL,NULL
191,1,25,NULL,NULL,NULL,NULL,NULL,NULL,3,7,9,NULL,NULL
192,1,25,NULL,NULL,NULL,NULL,NULL,NULL,4,13,16,NULL,NULL
193,2,32,W-1,Day-1,NULL,NULL,NULL,NULL,1,20,12,NULL,NULL
194,2,32,W-2,Day-1,NULL,NULL,NULL,NULL,2,23,7,NULL,NULL
195,1,32,M-1,Day-1,NULL,NULL,NULL,NULL,1,26,31,NULL,NULL
196,2,32,W-3,Day-1,NULL,NULL,NULL,NULL,3,32,29,NULL,NULL
197,1,32,M-2,Day-1,NULL,NULL,NULL,NULL,2,28,12,NULL,NULL
198,2,32,W-4,Day-1,NULL,NULL,NULL,NULL,4,4,3,NULL,NULL
199,1,32,M-3,Day-1,NULL,NULL,NULL,NULL,3,14,7,NULL,NULL
200,1,32,M-4,Day-1,NULL,NULL,NULL,NULL,4,23,33,NULL,NULL
201,2,32,W-5,Day-1,NULL,NULL,NULL,NULL,5,11,13,NULL,NULL
202,1,32,M-5,Day-1,NULL,NULL,NULL,NULL,5,11,30,NULL,NULL
203,2,32,W-6,Day-1,NULL,NULL,NULL,NULL,6,1,8,NULL,NULL
204,1,32,M-6,Day-1,NULL,NULL,NULL,NULL,6,4,19,NULL,NULL
205,1,32,M-7,Day-1,NULL,NULL,NULL,NULL,7,16,3,NULL,NULL
206,2,32,W-7,Day-1,NULL,NULL,NULL,NULL,8,25,22,NULL,NULL
207,1,32,M-8,Day-1,NULL,NULL,NULL,NULL,8,32,21,NULL,NULL
208,1,32,M-9,Day-1,NULL,NULL,NULL,NULL,1,25,22,NULL,NULL
209,2,32,W-8,Day-1,NULL,NULL,NULL,NULL,7,10,33,NULL,NULL
210,1,32,M-10,Day-1,NULL,NULL,NULL,NULL,8,20,9,NULL,NULL
211,2,32,W-9,Day-1,NULL,NULL,NULL,NULL,8,26,21,NULL,NULL
212,1,32,M-11,Day-1,NULL,NULL,NULL,NULL,2,6,13,NULL,NULL
